id	text	A7hmedHussien
46	قالك زوج جيران واحد غني و الاخر فقير الفقير عندوا المصباح السحري كل صباح يمسحوا يخرج العفريت يقولوا شبيك لبيك اطلب كل شيي بين يديك الفقير يقولوا اعطيني كاس لاتاي شافوا الغني و حسدوا علي المصباح السحري و بغي يديلوا المصباح قالوا نعطيلك الفيلا و السياره واعطيني المصباح الفقير قبل بالمقايضه مسح الغني المصباح وخرجلوا العفريت قالوا شبيك لبيك كل شيي بين يديك قالوا بغيت فيلا علي شاطي البحر قالوا العفريت اسمحلي خويا نسربي غير لاتاي ه	yes
47	وحده سمينه بزاف راحت عند الطبيب باش يعطيلها الدوا باش تشيان مدلها باطه كاشيات وقاللها كل نهار تاكل حبات هي نسات وكلاتهم قاع مره وحده ولعشيا جا راجلها للدار وحوس عليها ومالقاهاش قاللها عيشه وين راكي قاتلو راني مور البالي ه	yes
48	قالك واحد حابس راح للفارماسيان باش يشري الدواء الفارماسيان اعطالو كاشيات و قالو حبات مور القهوه السيد راح ثم رجع وقال للفارماسيان خويا معليش نشربهم مور الريستورو ه	no
49	واحد شري صباط كبير عليه ولا يقادرو ه	no
50	قالك سرات اكسدنت بين مرسيداس اخر عيطه بداو يداوسو صحاب الكرارس في ما بيناتهم حبس واحد مولا رايبه واش قاللهم ماتتقلقوش تقدرت و حنا قاع عندنا الماتريال و نخافو عليه ه	yes
51	واحد قال لخطيبته كي نكلاكسوني هبطي قالتلو علاه اشريت طوموبيل قالها لا شريت زماره ه	yes
52	خطره واحد كان يسرح بالنعاج وحاط رجل فوق رجل ويتكيف في قارو ايا طاحت طياره قريب ليه كي جات الصحافه تسالو كيفاش الحادثه المسكين من الخلعه بزاف قالهم كنت نسرح بالطياره و حاط قارو فوق قارو ونتكيف في رجلي لقيت النعاج طاحو ه	yes
53	قالك واحد مهبول دايمن حاكم الحيط و حاط وذنو عليه ويسمع كي شافو الطبيب قالو واش راك تسمع قالو المهبول اسمع بوذنك كي حط الطبيب وذنو علي الحيط قالو ماراني نسمع والو ايا قالو المهبول هادي اللي راها مهبلتني ه	yes
54	قالك واحد كذاب دوما يكذب في يوم راح يكذب علي اصدقايه قال لهم شفت مقابله كره قدم في الدقيقه التسعين واحد اللاعب سجل هدف لكن في الاعاده ضيعها ه	yes
55	واحد النهار غبي دخل يشري عصير قال لمول الحانوت اعطيني تاع الخوخ ه مره وحده هي و زميلتها قاعدين يحكيو الاولي قالت انا زوجي ديما ينسي بورتابله و المفتاح نتاع الطاكسي هدرت الاخري قاتلها تنتي عندك الزهر انا زوجي كل يوم يقولي وين شفتك من قبل ه	yes
56	مره واحد عرض صاحبه و حطلو العدس قالو كول العدس فيه الحديد ايا مره التاني عرض صاحبه جابلو الحديد قالو كول الحديد فيه العدس ه قالك الحمار عرض الحماره لدارو كي دخلت الحماره شافت الحمار معلق صوره الحمار الوحشي و سقساتوا شكون هذا فقالها الحمار هذا عمي كي كان يلعب في جوفانتوس ه سال احدهم الاخر اتذهب الي امريكا ام تبقي فاجابه ساذهب الي تبقي يظن انها دوله ه	yes
57	غبيان في مطعم طلب الغبي الاول عصير ليمون عليه ليمونه	yes
58	فطلب الثاني حليبا عليه بقره ه في احد الايام ذهب رجل بخيل مع زوجته لاحدي المحلات فوجدت زوجه البخيل توبا رايعا قايلتا لزوجها يا له من ثوب انيق فاجابها الزوج البخيل قايلا اذا سوف احضرك الي هذا المحل يوميا لكي تري الثوب ه	yes
59	المعلم اجب يا ناصر لماذا سموا البحر الميت بهذا الاسم ناصر فكر وفكر وقال يبدو ان البحر الميت كان مريضا قبل ان يموت	yes
60	بابا سال استاذ تلميذه ما اسم الحيوان الذي تصحو علي صوته كل صباح اجاب بابا	yes
61	الفيل والبرغوت استاذ سال تلميذه ما الفرق بين الفيل والبرغوت راح قال له الفيل ممكن ان يكون لديه برغوت لكن البرغوت مش ممكن يكون لديه فيل	yes
62	الاختبارات في واحد دايما يرسب في الاختبارات وفي يوم طلعت نتيجه الاختبارات فجاء الراسب لصديقه و قاله روح شوف النتيجه وتعال اذا راسب في ماده قول محمد يسلم عليك و اذا راسب في مادتين قوللي محمدين يسلم عليك راح صديقه يشوف النتيجه لقاه راسب في كل المواد رجعله و قاله امه محمد بتسلم عليك	yes
63	مدرس قال للتلامي مره مدرس قال للتلاميذ اللي موش فاهم يقوم يقف فواحد بس اللي وقف بعدين قاله المدرس انتا موش فاهم قاله لا بس عيب اخليك واقف لوحدك	yes
64	المعلم المعلم للطلبه الام دايما ما تكون حنونه علي اطفالها فهي تغني لهم حتي يناموا فهي تولف لهم الاغاني وتغنيها لهم فمثلا الطالب احمد احمد نعم يا استاذ المعلم هل تذكر اغنيه تغنيها لك والدتك حتي تنام احمد نعم يا استاذ المعلم هل تسمعني هذه الاغنيه احمد نام يا حمار نام نامت عليك طوفه	yes
65	حمار وحد الخطره وحد حمار حاشاك كان متكي علي حيط شاف لعواد يديرو في السيباق غار قال ايه كون قريت كون راني كيفهم	yes
66	شاب تتشاجر مع ابو مره شاب تتشاجر مع ابوه و نزل الشاب تحت الباطيمه و قعد يعيط بويا اعطيني حوايجي ما نزيدش نقعد في الدار ارسله لوه قرعه جال قاله هدا ما عندك	yes
67	الشيطان قالك واحد حياتوا كامل وهو ياكل في اللوبيا وكي يجي ياكل ما يقولش بسم الله الشيطان ياكل معاه واحد النهار جاء راح يبدا الماكله خرجلوا الشيطان وقالوا يا صاحبي نتا قع ما تقولش بسم الله	yes
68	قالك زوج تزوجوا جابوا طفل ما عندوش يدين سماوه	no
69	الاسنسير مره واحد هو وابنه ميعرفوش هو ايه الاسنسير بس شايفين الحيطه عماله تتفتح وتتقفل وهما مش فاهمين حاجه المهم جت واحده عجوزه ظغطت علي الزر اللي في الحيطه ودخلت الاسنسير وبعد شويه الاسنسير نزل وطلعت منه شابه جميله فالراجل قال لابنه روح هات امك هنا	yes
70	سروال لوبيا واحد حب يشري سروال لوبيا مالقاش شري سروال عدس	yes
71	ثلاثه بخلاء في احد الايام سام ثلاثه بخلاء من الناس التي تظل تتكلم عن بخلهم فقالو سننفق بعض المال من اجل نزع هذا الكلام فقال الاول سارسم خطا وارمي المال ما ذهب الي يمين لي ومن ذهب الي يسار لهم فقال ثاني سارسم دايره وارمي المال ما دخل الي دايره لي وما لم يدخل لهم فقال ثالث انا سارمي المال في السماء مابقي في السماء لهم وما سقط في الارض لي ه	yes
72	قالك مره زوج راحو للبحر واحد عام وواحد شهر	yes
73	بوشي قالك واحد راح عند البوشي قالو اعطيني زوج كيلو لحم بقري كي عطالو الراجل سقساه قالو عندك الكرعين قالو البوشي ايه قالو امالا اللحق هربلو باللحم	yes
74	حمار وحشي قالك حمار وحشي كان يمشي مع صاحبتو قالك دخلها لدارو امبعد صحبتو شافت تصويرتو قاتلو شكون هدا قالها ايه هدا انا نهار كنت نلعب فسطيف	yes
75	الحمير تعرف بعضه كان جحا راكبا حماره حينما مر ببعض القوم واراد احدهم ان يمزح معه فقال له ياجحا لقد عرفت حمارك ولم اعرفك قال جحا هذا طبيعي لان الحمير تعرف بعضها	yes
76	مسمار واحد راح لطبيب باش ينحيلو مسمار دخلو في رجلو كي قالو دينار جاوبو وقال عوجو وخليه	yes
77	العجوزه قالك واح العجوزه راحت للطبيب قاتلوا يا وليدي راه عندي الما في ركبتي والغاز في معدتي قاللها دخلي التريسيتي واسكني	yes
78	لمطعم قالك زوج دخلوا للمطعم واحد غني و الخر فقير الغني طلب اكله باللحم والفقير طلب صحن من الفول ايا الفقير بدا ياكل بسرعه شاف فيه الغني و قالوا قول بسم الله باش ما يكلش معاك الشيطان دار عندوا الفقير وقالوا واش بيك الشيطان يخلي اللحم و يجي ياكل الفول	yes
79	الانترنيت واحد كان يشاتي في الانترنيت مع فتاه قالها كيفاه اسمك كتبتلو فاطمه و حطت قدامها ورده يعني فاطمه الزهراء هو واش كتبلها اسمه بو جمعه	yes
80	حيوانات مره استاد قال للتلميد اعطيلي حيوانات زاحفه قالو حنش حلزون خويا الصغير	yes
81	محيرقه قالك واحد زاد عندو ولد فيه شعره واحده في راسه سماه محيرقه	yes
82	سمينه بزاف وحده سمينه بزاف راحت عند الطبيب باش يعطيلها الدوا باش تشيان مدلها باطه كاشيات وقاللها كل نهار تاكل حبات هي نسات وكلاتهم قاع مره وحده ولعشيا جا راجلها للدار وحوس عليها ومالقاهاش قاللها عيشه وين راكي قاتلو راني مر البالي المكنسه	yes
83	المعلم وحد المعلم سقسا وحد التلميذ قالو اعطيني شيء يتمدد بالحراره ويتقلص بالبروده التلميذ قالو العطله يا استاذ في الشتاء يوم وفي الصيف اشهر	yes
84	السروال معلم سال طالب السروال مفرد و لا مثني يا طفل رد الطالب مفرد من فوق و مثني من تحت	yes
85	مشحاح مشحاح طاحت دراهمه من التاقه كي نزل ما لقاهاش ليش لانه وصل قبلها	yes
86	مره كان هناك واحد عربي التقي بواحد ياباني فعرض علي العربي بتناول العشاء فقرر ان يهاتف زوجته ليعلمها فاعطاه الياباني يده و قال كلم هنا فقط في الهاتف النفال اي يديه كهاتف لدرجه تطور اليابانيين و بعدها ذهبو الي المنزل وفي الطريق راو عده متسولين يرفعون ايديهم للتسول فسال اليابني ماهذا فقال العربي هذا هاتف عمومي تاكسي فون هاهاها	yes
87	واحد دخل للقهوه وقال للقهواجي عندك قهوه بارده يقولو لا زاد جاه غدوه وقالو كيما المره اللوله ورد عليه لا وعاد كل يوم يقولو عندك قهوه بارده واحدالنهار قال القهواجي والله نوجدلو قهوه بارده قبل ما يجي ومبعد ساعه جا الزبون وقال عندك قهوه بارده قالو نعم قال سخنها وجيبهالي	yes
88	كان واحد ماشي في سيارتو ومعاه زوجتيه وفجاه السياره تعطلت نزل الراجل يشوف نطقت مرتو لمثقفه وقالت شوف بلاك الكالبيراتور غارت الزوجه لخرا وقالت انا تاني لازم نهدر حاجه حتي وان كنت مانعرفش للسيارات وقالتلو يا راجل شوف بلاك نسيت البارمي	yes
89	الاطرش كاين واحد مايسمعش مليح حبس تاكسيور مايسمعش مليح كيما هو قالوا ياخوا راك رايح للحراش قالو تاكسيور لالا راني رايح للحراش السيد لوخر قالو سمحلي حسبتلي راك رايح للحراش	no
90	االله يفتحها في و قالت مراه لوليدها روح عمرلي قرعه غاز كي كان رايح قالها يما ادعيلي قالتلو روح يا وليدي الله يفتحها في وجهك	yes
91	انقلاب عسكري واحد سقساوه كيفاه يقولو انقلاب العسكري بفرونسي قالهم	no
92	فنان تشكيلي واحد سقسي خو قالو خو واش راك حاب تخدم قالو فنان تشكيلي قالوا اه تسمي انا نخدم فنان اشكيلك	no
93	القصف العشوايي واحدحول راح يجوز لارمي بعتوه للقصف العشوايي	yes
94	حرام مع خوك قالك واحد المراه راجلها واعر معاها بزاف قالتلو لو كان غير تزوجت مع شيطان وما تزوجتش معاك قالها حرام المراه تتزوج مع خوها	yes
95	ارنب قالك واحد كان زاطل سقساوه خو كي تحب تصيد ارنب كاش تدير قالهم نتخبي مور الشجره وندير صوت الزروديه ليجان قالك كانو واحد الزوج يمشو واحد دار والدوزيام باطيمه	no
96	لا تنسوا الردود فهي تشجعني علي تقديم الجديد	no
97	حوطي شرا تاكسي الناس تاشر له بالشارع تقوله تاكسي تاكسي قال الحوطي ادري ادري	yes
98	فيه حوطي موقف عند التلفزيون مفصخ ليه يبغي يشارك في مسابقه انزع واربح	yes
99	هندي قام من النوم يقول ناهي ناهي لييش حلم انه مطيري	yes
100	صاحت الام في ابنها الصغير لماذا تاخرت الم اقل لك ارجع من البقاله بسرعه فقال الابن نعم يا ماما ولكن لم تقولي لي ان اذهب بسرعه	yes
101	يقولك واحد راح للاستريو وقال مابوه عندكم ام كلثوم يامسهرن	no
102	هندي راح للاستريو يبي شريط تقول ساله راعي المحل ايش تبي قال الهندي في شريط كلام	yes
103	تكرونيه لما تيجي تقوم عيالها الصبح تقولهم بلديا بلديا بلديا بلديا	no
104	فيه ياباني اخترع كمبيوتر وهذا الكمبيوتر اي سوال تسيله يجاوب عليك واخذ عده جوايز من نوبل وجايزه الملك فيصل لحسن اختراع بس جاء حوطي سيله سوال والكمبيوتر قال فو فو فو بوف الكمبيوتر انفجر الحوطي ايش سيله قاله ابو جلمبو قبل ما يجيه جلمبو ايش كان اسمه	yes
105	فيه ولد صغير توه بادي يتكلم اول كلمه نطقها قال خالوا من بكره مات خاله بعد فتره تكلم الولد وقال اخوي اليوم الثاني اخوه صلوا عليه العصر بعد فتره قال بابا ابوه ماكذب خبر علي طول كتب وصيته من بكره مات ابو الجيران	yes
106	قصيمي والخروف	no
107	استراحه المجالس يختص بالالغاز العاديه والصور المضحكه والفرفشه والنكت و وصورالاماكن السياحيه والترفيهيه في العالم	no
108	جميله يا اب عصام و	no
109	ه حلوه يا ابوو عصاام كالعااده تقبل مرووري	no
110	السلام عليكم يقولك فيه قصيمي بخيل اشتري خروف وداه للطباخ وقاله اسمع نص اللحم سوه مندي والنص الثاني قطعه بغيته للثلاجه والراس اسلخه بنسوي عليه شوربه والرجول نظفها بنسويها كوارع والجلد لا تاخذه بسويها فرشه للددسن والكرش والمصارين بسويها صارونه والروث بغيناه سماد للنخل والعظام بغيتها للكلب رد عليه الخروف باقي صوتي يا ابن الكلب ماتبي تخليه رنه لجوالك	yes
111	ونعم يابو عصام ويش عرف التيس بالانساب تيس قليل ادب ما يقدر القصمان شفت كلامه ما يدخل عقل ه ه ه والله وخليتوا التيس ينطق يالقصمان ماله لايم مشكور ولا هنت ومعلومات قيمه ومسجله تقبل تقديري وحكاي والسلام	no
112	في مطيري سالو تبي ابوك يموت علي شان تاخذ الورث قالهم ابي ابوي يندعم بسياره علي شان يعطينا راعي السياره فلوس وكسبت الورث وفلوس الحادث ادري تافه بس شو اسوي هذا الي طلع معايه	yes
113	واحد قال ليماه بغيت نتزوج بوحده بيضه وطويله وخدامه قالتلو شوف كاش فريجيدار عربي وامريكي وياباني حطوهم علي جهاز كشف الكذب الياباني قال احنا رانا نفكرو نصنعو انسان اليونستغناو عن البشر فبدا الجهاز يسينيالي الامريكي قال احنا رانا نفكرو نسكنو فالمريخ فبدا الجهاز يسينيالي العربي قال احنا رانا نفكرو وقبل ما يكمل هدرتو بدا الجهاز يسينيالي	yes
114	قلك واحد حابس اشتري تلفاز جديد كي شعلو في الدار صاب تلعب مقابله في كره القدم فراح جاب بيدون تاع ماء وفرغو عليه وقال للتلفاز ايا كل واحد يروح يلعب قدام دارهم ه	yes
115	واحد حب يشري سروال لوبيا مالقاش شري سروال عدس ه	yes
116	التقي كذابان احدهما من القطب الجنوبي و الاخر من الشمالي فقال الاول ان البرد عندنا كثير لدرجه ان النار قد تجمدت فقال الثاني اما البرد عندنا وصل الي درجه اننا لا نسمع كلام بعضنا حتي نضعه في الماء الساخن ه	yes
117	واحد النهار غبي دخل يشري عصير قال لمول الحانوت اعطيني تاع الخوخ ه فطلب الثاني حليبا عليه بقره ه	no
118	فيه بعير يقول للزرافه يا زين هالطول قالت ما بقي الا البدو	yes
119	فيه جني يبي يدخل في واحد سوداني ولع كشاف	yes
120	فيه واحد زاحف تزوج سلحفاه	yes
121	فيه واحد اشتري شبح خاف منه	yes
122	فيه نكته ما دخلت هذه الصفحه ليش خايفه تضحكون عليها	yes
123	مصري كان يصلي وكان وراه ناس المهم اللي وراه مدحوا صلاته المصري يوم سمع المدح قطع صلاته والتفت عليهم وقال وكمان صايم	yes
124	جربان اتسبح حطوه في برنامج كل جديد	yes
125	يتبع فيه عجوز راحت تعزي ناس قالت لهم كيف مات اخوكم قالو لها كان واحد من زملاه يمزح معاه بمسدس فطلعت رصاصه بالغلط مع راسه قالت العجوز ايه الحمدلله ما جت في عينه	yes
126	حوطي دخل للعسكريه المهم لم وصل للتدريب الميداني ساله القايد اذا جتك دبابه ومعك قنبله ايش تسوي قال الحوطي افجر القنبله رد القايد وساله و اذا كانت دبابتين قال الحوطي افجر قنبلتين قال القايد واذا ثلاث قال الحوطي افجر ثلاث قنابل قال القايد واذا اربع دبابات رد الحوطي وهو زعلان لعنبو ذا الجيش الي ما فيه الا انا	yes
127	حمار تزوج حماره في اول يوم الحمار قال لزوجته تفضلي ياحماره قالت له بدينا	yes
128	عشره صعايده يمزحون مع بعض ماتو سبعه قالوا الباقين خلاص لاتقلب الدعوه جد محشش دخل استريو قال عندك محمد عبده قال نعم قال خله يطلع موتره مسكر علي	yes
129	يتبع مره في امريكي و فرنسي و صيني حبو يجربوا صدي اصواتهم عند شلالات نياجرا الامريكي قال هلو الصدي قال هلو و و الفرنسي قال بونجور الصدي قال بونجوور وور وور الصيني قال شنق شونق كلمبونق الصدي قال هاه	yes
130	حوطيه قرت جواز رجلها قرت مكتوب المهنه رجل اعمال قامت مسحتها وكتبت رجل نوره	yes
131	خروف يلحق اسد ليش بايعها	yes
132	مطيري انقذ واحد من حريق ليش عشان يعيش مشوه حوطي عينوه في امن الحرم فشاف واحد يدور حول الكعبه وقاله هاه وشعندك تدور فيذا اثنين راجعين بالسياره من السفر وقفوا عند محطه بنزين نزل السواق عند البقاله وراح الثاني لدوره المياه اشتري السواق حبتين ببسي وركب السياره ومشي ثاني يوم اتصل عليه اهل خويه قالوا له وين فلان ما رجع معك قال وانا اقول الببسي الثاني منهو له	yes
133	في وحده شاركت في برنامج من سيربح المليون فطلقها زوجها لانها طلبت الاتصال بصديق	yes
134	ديك قال للدجاجه ليش ياخذون البيض وانتي ساكته قالت له الدجاجه اسكت احسن من اللي ياذن ولا يصلي	yes
135	في واحد نام في السطح حس بالبرد سكر باب السطح	yes
136	بقاله سوت رجيم صارت بسطه	yes
137	كان في فيل متزوج من نمله وفي يوم من الايام جاها وقال انا اكتشفت ان احنا ما نصلح لبعض ولازم ننفصل فردت النمله طيب والفيل اللي في بطني	yes
138	فيه واحد قال له ولده يبه جب لي مدرس خصوصي قال ابوه اذا نجحت	yes
139	صاحب مندي توفي ابوه كفنه بقصدير	yes
140	فيه عجوز ركبت في الليموزين قالها سواق الليموزين وين ياماما قالت مالك دخل ماعلمت اعيالي عشان اعلمك	yes
141	فيه صعيدي سالوه عن عمره قالهم وبعد سنتين سالوه قالهم قالوله مايصير قالهم انا راجل وكلمتي واحده	yes
142	احول يبي يهرب من المدرسه دخل غرفه المدير	yes
143	فيه واحد كريم احترق بيته جو الاطفاء يطفون البيت قالهم والله ماتسوون شي لين تقهوون	yes
144	ولد غبي يدرس طرده المدير من المدرسه جاء ابو الولد وقال للمدير ليش طردت ولدي من المدرسه قال المدير ولدك غبي جدا وعشان اثبتلك يا ولد روح دور علي يقصد المدير راح الولد ثم رجع قال ما لقيتك قال المدير شفت فقال الاب للولد رح دور في السيب زين	yes
